OBJECTID,FEATURETYPE,DESCRIPTON,CLASS,FACILITY_NAME,FACILITY_OPERATIONALSTATUS,FACILITY_ADDRESS,ABS_SUBURB,FACILITY_STATE,ABS_POSTCODE,FACILITY_ATTRIBUTE_SOURCE,FACILITY_ATTRIBUTE_DATE,FACILITY_SOURCE,FACILITY_DATE,FACILITY_SPATIAL_CONFIDENCE,FACILITY_REVISED,COMMENT,FACILITY_LAT,FACILITY_LONG,VALIDATED,GNAF_BUILDING_NAME,GNAF_ADDRESS_DETAIL_PID,GNAF_FORMATTED_ADDRESS,GNAF_CONFIDENCE,GNAF_POSTCODE,GNAF_SUBURB,DISTANCE_TO_GNAF,GNAF_LAT,GNAF_LONG
4979,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,JEIR NORTH,OPERATIONAL,,MURRUMBATEMAN,NEW SOUTH WALES,2582,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-34.938724751999985,148.9632037560001,,,,,,,,,,
4980,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,MURRURUNDI POLICE STATION,OPERATIONAL,MURALLA STREET & LIVERPOOL TERRACE,MURRURUNDI,NEW SOUTH WALES,2338,NSW POLICE FORCE,,NSW POLICE FORCE,,,,NO GNAF POINT,-31.763755999999944,150.83034600000008,,,,,,,,,,
4981,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MUSCLE CREEK,OPERATIONAL,,MUSCLE CREEK,NEW SOUTH WALES,2333,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-32.271814749999976,150.99679187100003,,,,,,,,,,
4982,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,EDINGLASSIE,OPERATIONAL,,MUSWELLBROOK,NEW SOUTH WALES,2333,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-32.264749000999984,150.90778833800005,,,,,,,,,,
4983,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MUTTAMA,OPERATIONAL,,MUTTAMA,NEW SOUTH WALES,2722,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-34.80487447799993,148.11350058100004,,,,,,,,,,
4984,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,NANA GLEN,OPERATIONAL,,NANA GLEN,NEW SOUTH WALES,2450,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-30.145464088999972,153.00600693900003,,,,,,,,,,
4985,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,GLANMIRE-WALANG,OPERATIONAL,,NAPOLEON REEF,NEW SOUTH WALES,2795,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-33.42916439199996,149.74390350700003,,,,,,,,,,
4986,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,NARRABRI,OPERATIONAL,,NARRABRI,NEW SOUTH WALES,2390,HTTP://SES.NSW.GOV.AU,,HTTP://SES.NSW.GOV.AU,,,,NO GNAF POINT,-30.324899999999957,149.79133000000002,,,,,,,,,,
4987,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,TIBBEREENA,OPERATIONAL,,NARRABRI,NEW SOUTH WALES,2390,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-30.368725455999936,149.7680260080001,,,,,,,,,,
4988,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,NARRABRI HQ,OPERATIONAL,,NARRABRI,NEW SOUTH WALES,2390,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-30.34842264899993,149.7608793600001,,,,,,,,,,
4989,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,WINDUELLA,OPERATIONAL,,NARRAWA,NEW SOUTH WALES,2583,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-34.496086040999955,149.21375179100005,,,,,,,,,,
4990,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,FROST,OPERATIONAL,,NARROMINE,NEW SOUTH WALES,2821,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-32.34179899999998,148.17060000000004,,,,,,,,,,
